[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=0 | c_delayed=0 | n=0.181261
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=-7.49081 | c_delayed=0 | n=0.181261
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2217 | tau_c_delay_=200 | t_past=2017 | c_current=0 | c_delayed=0 | n=0.181261
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=0 | c_delayed=0 | n=0.164012
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=0 | c_delayed=0 | n=0.164012
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=2.16803e-32 | c_delayed=6.30139e-26 | n=0.164012
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=0 | c_delayed=0 | n=0.164012
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=4.86726 | c_delayed=0 | n=0.164012
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=0.00285903 | c_delayed=-0.266386 | n=0.164012
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=0 | c_delayed=0 | n=0.164012
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=-7.62447 | c_delayed=0 | n=0.164012
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2218 | tau_c_delay_=200 | t_past=2018 | c_current=0 | c_delayed=0 | n=0.164012
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2219 | tau_c_delay_=200 | t_past=2019 | c_current=0 | c_delayed=0 | n=0.148404
